heading_deg,speed_knots,pressure_Pa,altitude_ft,roll_deg,pitch_deg
180.0,80.0,1000.0,1250.0,0.0,0.0
187.19808015359416,80.13333327160494,1000.05999600008,1254.9999866666774,1.1999911111308643,0.5999988888895061
194.3846449144511,80.26666617283978,1000.1199680025599,1259.9998933336747,2.3999288895209854,1.1999911111308643
201.54819731200547,80.39999833333542,1000.1798920194383,1264.999640002592,3.5997600047999545,1.7999700001499996
208.67727719056427,80.53332938272483,1000.2397440819075,1269.9991466775894,4.799431131337929,2.3999288895209854
215.76047954311102,80.66665895064408,1000.2995002499405,1274.9983333666664,5.998888950615651,2.9998611130401107
222.78647275688422,80.79998666673333,1000.3591366218668,1279.997120082943,7.198080153594149,3.5997600047999545
229.74401674154046,80.93331216063793,1000.4186293439327,1284.995426845938,8.39695144308402,4.199618899263446
236.6219809109012,81.06663506200933,1000.4779546198428,1289.99317368285,9.595449536114192,4.799431131337929
243.40936198951619,81.19995500050625,1000.5370887202774,1294.9902806298367,10.793521166300026,5.399190036449219
250.0953016155571,81.3332716057956,1000.5960079923852,1299.9866677332927,11.991113086210738,5.998888950615651
256.6691037118799,81.46658450755358,1000.6546888692426,1304.9822550511315,13.188172069735906,6.598521210522127
263.1202515974669,81.59989333546665,1000.7131078792814,1309.9769626540624,14.384644914451085,7.198080153594149
269.4384248118726,81.73319771923259,1000.7712416556765,1314.9707106268704,15.580478443982349,7.7975591180718515
275.613515625759,81.86649728856153,1000.8290669456924,1319.9634190696943,16.775619510369676,8.39695144308402
281.63564521110635,81.99979167317699,1000.886560619984,1324.9550080993058,17.970014996429068,8.9962504687221
287.4951794452306,82.13308050281685,1000.9436996818483,1329.9453978503866,19.163611818113306,9.595449536114192
293.18274432332436,82.26636340723448,1001.0004612764225,1334.9345084768074,20.356356926871243,10.194541987499042
298.68924095486517,82.39964001619965,1001.0568226998253,1339.9222601529045,21.548197312005485,10.793521166300026
304.00586011989924,82.53290995949966,1001.112761408239,1344.9085730747574,22.739080003028437,11.3923804171991
309.1240963619141,82.66617286694029,1001.168255026926,1349.893367461466,23.928952072016532,11.991113086210738
314.03576159475466,82.7994283683469,1001.2232813591787,1354.876563556426,25.11776063596257,12.589712520755898
318.73299820181444,82.93267609356539,1001.277818395198,1359.8580816286067,26.305452859126053,13.188172069735906
323.2082916065459,83.06591567246329,1001.3318443208966,1364.8378419738249,27.49197595538146,13.786485083606372
327.4544822941797,83.19914673493074,1001.3853375266244,1369.8157649160212,28.677277190564276,14.384644914451085
331.4647772654214,83.33236891088153,1001.4382766158126,1374.7917708085351,29.861303884814703,14.982644916055845
335.2327609038009,83.46558183025415,1001.4906404135312,1379.7657800353784,31.044003414919025,15.580478443982349
338.7524052392905,83.59878512301282,1001.5424079749594,1384.7377130125094,32.225323216648356,16.178138855641986
342.0180795917709,83.73197841914845,1001.5935585937626,1389.7074901891065,33.405210787094845,16.775619510369676
345.024559578918,83.86516134867976,1001.6440718103756,1394.675032048841,34.58361368700515,17.37291376949761
347.76703547410074,83.99833354165426,1001.6939274201851,1399.6402591111491,35.76047954311102,17.970014996429068
350.241119900917,84.13149462814927,1001.7431054816119,1404.603091932504,36.935756050457016,18.566916556712105
352.44285485206046,84.26464423827298,1001.7915863240871,1409.563451107686,38.10939097472517,19.163611818113306
354.36871802128775,84.39778200216541,1001.8393505559203,1414.5212572710543,39.28133215455648,19.760094150691465
356.0156284383569,84.53090754999957,1001.8863790720554,1419.476431097816,40.45152750386919,20.356356926871243
357.3809513979228,84.66402051198234,1001.932653061713,1424.4288933052956,41.61992501417374,20.952393521516814
358.4625026745035,84.79712051835557,1001.9781540159145,1429.3785646542035,42.78647275688422,21.548197312005485
359.2585520167752,84.9302071993971,1002.0228637348845,1434.3253659499037,43.95111888562633,22.143761678301267
